# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
BGR,2022,2022,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BGR,1990,1994,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BGR,1960,1987,default,external_bond,CRAG,BoC creditor: FC bonds
BGR,1989,2002,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGR,2004,2004,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGR,1996,1996,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGR,2000,2001,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGR,2003,2005,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGR,2009,2011,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BFA,1991,1991,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BFA,1993,1993,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BFA,1996,1996,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BFA,2000,2006,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BFA,1986,2022,paris_club,paris_club,CRAG,BoC creditor: China
BFA,1978,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BFA,1982,2002,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BFA,1984,1998,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BFA,2001,2010,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BFA,2014,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BDI,2003,2005,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BDI,2008,2009,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BDI,1982,1987,paris_club,paris_club,CRAG,BoC creditor: China
BDI,1989,1989,paris_club,paris_club,CRAG,BoC creditor: China
BDI,1992,1992,paris_club,paris_club,CRAG,BoC creditor: China
BDI,1995,2001,paris_club,paris_club,CRAG,BoC creditor: China
BDI,2007,2007,paris_club,paris_club,CRAG,BoC creditor: China
BDI,2020,2021,paris_club,paris_club,CRAG,BoC creditor: China
BDI,1971,1973,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BDI,1985,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BDI,1984,2000,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BDI,2004,2006,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BDI,1987,2003,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BDI,2005,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CPV,2020,2021,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CPV,2001,2001,paris_club,paris_club,CRAG,BoC creditor: China
CPV,2007,2007,paris_club,paris_club,CRAG,BoC creditor: China
CPV,2010,2010,paris_club,paris_club,CRAG,BoC creditor: China
CPV,2016,2016,paris_club,paris_club,CRAG,BoC creditor: China
CPV,2020,2021,paris_club,paris_club,CRAG,BoC creditor: China
CPV,1981,2010,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CPV,2019,2021,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CPV,1985,1996,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
CPV,1986,1997,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CPV,1999,2002,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CPV,2005,2005,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CPV,2020,2021,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CPV,1998,2004,default,domestic,CRAG,BoC creditor: LC debt
CPV,2018,2021,default,domestic,CRAG,BoC creditor: LC debt
CPV,1992,1994,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CPV,1998,2009,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CPV,2015,2015,arrears,domestic,CRAG,BoC creditor: Domestic arrears
KHM,1971,1995,paris_club,paris_club,CRAG,BoC creditor: Paris Club
KHM,1997,2005,paris_club,paris_club,CRAG,BoC creditor: China
KHM,2010,2010,paris_club,paris_club,CRAG,BoC creditor: China
KHM,2012,2014,paris_club,paris_club,CRAG,BoC creditor: China
KHM,2016,2016,paris_club,paris_club,CRAG,BoC creditor: China
KHM,1971,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
KHM,1989,1995,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
KHM,1975,1975,default,domestic,CRAG,BoC creditor: LC debt
KHM,1991,1991,arrears,domestic,CRAG,BoC creditor: Domestic arrears
KHM,2003,2006,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CMR,1989,1989,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CMR,1992,1997,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CMR,2000,2007,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CMR,2019,2021,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CMR,1987,1997,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2000,2002,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2007,2007,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2010,2010,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2015,2015,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2017,2017,paris_club,paris_club,CRAG,BoC creditor: China
CMR,2020,2021,paris_club,paris_club,CRAG,BoC creditor: China
CMR,1972,1975,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CMR,1977,2015,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CMR,2020,2022,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CMR,1985,2004,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
CMR,2019,2019,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
CMR,2022,,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
CMR,1997,1997,default,external_bond,CRAG,BoC creditor: FC bonds
CMR,2001,2005,default,external_bond,CRAG,BoC creditor: FC bonds
CMR,2019,2019,default,external_bond,CRAG,BoC creditor: FC bonds
CMR,1979,2010,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CMR,2012,2013,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CMR,2017,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CMR,1966,1969,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CMR,1980,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CAF,1979,1990,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CAF,1993,1994,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CAF,1997,1998,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CAF,2006,2009,paris_club,paris_club,CRAG,BoC creditor: Paris Club
CAF,1994,2010,paris_club,paris_club,CRAG,BoC creditor: China
CAF,2013,,paris_club,paris_club,CRAG,BoC creditor: China
CAF,1970,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
CAF,1998,2017,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
CAF,1970,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
CAF,1979,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
TCD,1989,1989,paris_club,paris_club,CRAG,BoC creditor: Paris Club
TCD,1995,1996,paris_club,paris_club,CRAG,BoC creditor: Paris Club
TCD,2000,2001,paris_club,paris_club,CRAG,BoC creditor: Paris Club
TCD,2014,2015,paris_club,paris_club,CRAG,BoC creditor: Paris Club
TCD,2020,,paris_club,paris_club,CRAG,BoC creditor: Paris Club
TCD,1988,1992,paris_club,paris_club,CRAG,BoC creditor: China
TCD,1994,2006,paris_club,paris_club,CRAG,BoC creditor: China
